"CD_CVM","EMPRESA","CD_CONTA","CONTA","PERIODO","VL_CONTA"
"25976","Yuny","1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T20",1207
"25976","Yuny","1.02.02","1.02.02 - Investimentos","4T20",178365
"25976","Yuny","1.02.03","1.02.03 - Imobilizado","4T20",4964
"25976","Yuny","1.02.04","1.02.04 - Intangível","4T20",41
"24279","Inter","1","1 - Ativo Total","4T20",820057
"24279","Inter","1.01","1.01 - Ativo Circulante","4T20",426286
"24279","Inter","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",97754
"24279","Inter","1.01.02","1.01.02 - Aplicações Financeiras","4T20",16476
"24279","Inter","1.01.03","1.01.03 - Contas a Receber","4T20",44784
"24279","Inter","1.01.04","1.01.04 - Estoques","4T20",262672
"24279","Inter","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",4600
"24279","Inter","1.02","1.02 - Ativo Não Circulante","4T20",393771
"24279","Inter","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",301761
"24279","Inter","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",0
"24279","Inter","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",18249
"24279","Inter","1.02.01.05","1.02.01.03 - Estoques","4T20",260200
"24279","Inter","1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",3570
"24279","Inter","1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T20",19742
"24279","Inter","1.02.02","1.02.02 - Investimentos","4T20",57914
"24279","Inter","1.02.03","1.02.03 - Imobilizado","4T20",34096
"24279","Inter","1.02.04","1.02.04 - Intangível","4T20",0
"23604","You Inc","1","1 - Ativo Total","4T20",1129354
"23604","You Inc","1.01","1.01 - Ativo Circulante","4T20",868225
"23604","You Inc","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",122044
"23604","You Inc","1.01.02","1.01.02 - Aplicações Financeiras","4T20",0
"23604","You Inc","1.01.03","1.01.03 - Contas a Receber","4T20",220612
"23604","You Inc","1.01.04","1.01.04 - Estoques","4T20",510052
"23604","You Inc","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",15517
"23604","You Inc","1.02","1.02 - Ativo Não Circulante","4T20",261129
"23604","You Inc","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",242892
"23604","You Inc","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",0
"23604","You Inc","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",129708
"23604","You Inc","1.02.01.05","1.02.01.03 - Estoques","4T20",0
"23604","You Inc","1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",6063
"23604","You Inc","1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T20",107121
"23604","You Inc","1.02.02","1.02.02 - Investimentos","4T20",6179
"23604","You Inc","1.02.03","1.02.03 - Imobilizado","4T20",11918
"23604","You Inc","1.02.04","1.02.04 - Intangível","4T20",140
"21067","Moura Dubex","1","1 - Ativo Total","4T20",2077260
"21067","Moura Dubex","1.01","1.01 - Ativo Circulante","4T20",880470
"21067","Moura Dubex","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",49538
"21067","Moura Dubex","1.01.02","1.01.02 - Aplicações Financeiras","4T20",8573
"21067","Moura Dubex","1.01.03","1.01.03 - Contas a Receber","4T20",224841
"21067","Moura Dubex","1.01.04","1.01.04 - Estoques","4T20",587661
"21067","Moura Dubex","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",9857
"21067","Moura Dubex","1.02","1.02 - Ativo Não Circulante","4T20",1196790
"21067","Moura Dubex","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",862076
"21067","Moura Dubex","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",60497
"21067","Moura Dubex","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",285174
"21067","Moura Dubex","1.02.01.05","1.02.01.03 - Estoques","4T20",336965
"21067","Moura Dubex","1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",175258
"21067","Moura Dubex","1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T20",4182
"21067","Moura Dubex","1.02.02","1.02.02 - Investimentos","4T20",320870
"21067","Moura Dubex","1.02.03","1.02.03 - Imobilizado","4T20",7061
"21067","Moura Dubex","1.02.04","1.02.04 - Intangível","4T20",6783
"25119","Melnick","1","1 - Ativo Total","4T20",1790464
"25119","Melnick","1.01","1.01 - Ativo Circulante","4T20",1587034
"25119","Melnick","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",6491
"25119","Melnick","1.01.02","1.01.02 - Aplicações Financeiras","4T20",695049
"25119","Melnick","1.01.03","1.01.03 - Contas a Receber","4T20",885494
"25119","Melnick","1.01.04","1.01.04 - Estoques","4T20",0
"25119","Melnick","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",0
"25119","Melnick","1.02","1.02 - Ativo Não Circulante","4T20",203430
"25119","Melnick","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",196051
"25119","Melnick","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",0
"25119","Melnick","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",192929
"25119","Melnick","1.02.01.05","1.02.01.03 - Estoques","4T20",0
"25119","Melnick","1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",0
"25119","Melnick","1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T20",3122
"25119","Melnick","1.02.02","1.02.02 - Investimentos","4T20",1487
"25119","Melnick","1.02.03","1.02.03 - Imobilizado","4T20",5661
"25119","Melnick","1.02.04","1.02.04 - Intangível","4T20",231
"23957","Sugoi","1","1 - Ativo Total","4T20",387044
"23957","Sugoi","1.01","1.01 - Ativo Circulante","4T20",184873
"23957","Sugoi","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",44078
"23957","Sugoi","1.01.02","1.01.02 - Aplicações Financeiras","4T20",0
"23957","Sugoi","1.01.03","1.01.03 - Contas a Receber","4T20",26922
"23957","Sugoi","1.01.04","1.01.04 - Estoques","4T20",98994
"23957","Sugoi","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",14879
"23957","Sugoi","1.02","1.02 - Ativo Não Circulante","4T20",202171
"23957","Sugoi","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",197755
"23957","Sugoi","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",0
"23957","Sugoi","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",18580
"23957","Sugoi","1.02.01.05","1.02.01.03 - Estoques","4T20",168197
"23957","Sugoi","1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",427
"23957","Sugoi","1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T20",10551
"23957","Sugoi","1.02.02","1.02.02 - Investimentos","4T20",2697
"23957","Sugoi","1.02.03","1.02.03 - Imobilizado","4T20",1719
"23957","Sugoi","1.02.04","1.02.04 - Intangível","4T20",0
"21350","Direcional","1","1 - Ativo Total","4T20",5101409
"21350","Direcional","1.01","1.01 - Ativo Circulante","4T20",2666332
"21350","Direcional","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",731569
"21350","Direcional","1.01.02","1.01.02 - Aplicações Financeiras","4T20",195360
"21350","Direcional","1.01.03","1.01.03 - Contas a Receber","4T20",246717
"21350","Direcional","1.01.04","1.01.04 - Estoques","4T20",1268195
"21350","Direcional","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",224491
"21350","Direcional","1.02","1.02 - Ativo Não Circulante","4T20",2435077
"21350","Direcional","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",2258264
"21350","Direcional","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",0
"21350","Direcional","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",159412
"21350","Direcional","1.02.01.05","1.02.01.03 - Estoques","4T20",2071074
"21350","Direcional","1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",26142
"21350","Direcional","1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T20",1636
"21350","Direcional","1.02.02","1.02.02 - Investimentos","4T20",73064
"21350","Direcional","1.02.03","1.02.03 - Imobilizado","4T20",89594
"21350","Direcional","1.02.04","1.02.04 - Intangível","4T20",14155
"25275","Alphaville","1","1 - Ativo Total","4T20",2295251
"25275","Alphaville","1.01","1.01 - Ativo Circulante","4T20",947064
"25275","Alphaville","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",21227
"25275","Alphaville","1.01.02","1.01.02 - Aplicações Financeiras","4T20",322860
"25275","Alphaville","1.01.03","1.01.03 - Contas a Receber","4T20",202711
"25275","Alphaville","1.01.04","1.01.04 - Estoques","4T20",0
